Unnamed: 0,claim,year_of_publish,month_of_publish,day_of_publish,truth_value
307,TikTok video shows Russian soldiers parachuting into Ukraine.,2022,February,24,meter-false
308,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,2022,February,24,meter-false
309,"This ""footage"" shows Russia attacking Ukraine.",2022,February,24,meter-false
310,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",2022,February,19,meter-false
311,“Russia has never attacked anyone throughout its history.”,2022,February,20,tom_ruling_pof
312,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",2022,February,19,tom_ruling_pof
313,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",2021,April,12,meter-false
314,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,2020,July,22,meter-false
315,"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”",2020,April,23,tom_ruling_pof
316,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",2019,December,29,meter-false
317,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",2019,December,1,meter-false
318,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",2019,November,15,tom_ruling_pof
319,"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",2019,November,13,meter-mostly-true
320,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",2019,October,21,meter-mostly-false
321,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",2019,September,24,meter-mostly-false
322,"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",2019,August,26,meter-mostly-false
323,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",2019,May,2,meter-half-true
324,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",2019,January,2,tom_ruling_pof
325,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",2018,December,20,meter-false
326,"""The Russian state has never interfered ... into internal American affairs including election process.""",2018,July,16,tom_ruling_pof
327,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",2018,July,8,meter-false
328,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",2018,February,24,tom_ruling_pof
329,"""This is not the first time (the Russians) have been involved in our elections.""",2017,June,8,meter-half-true
330,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",2017,March,3,meter-mostly-true
331,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",2016,October,4,meter-half-true
332,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",2016,September,9,meter-half-true
333,"Russia and China are ""doing naval exercises together someplace.""",2016,August,1,meter-mostly-true
334,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",2016,July,3,meter-mostly-true
335,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",2015,December,2,meter-mostly-true
336,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",2015,July,27,meter-mostly-true
337,"""The entirety of North America -- Canada, the United States and Mexico -- there's more known reserves in those three countries than in Russia and Saudi Arabia.""",2015,May,7,meter-mostly-false
338,"Russia ""has an economy the size of Italy.""",2014,July,27,meter-mostly-true
339,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",2014,May,18,meter-half-true
340,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",2014,March,23,meter-half-true
341,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",2014,March,16,meter-mostly-false
342,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",2014,February,28,meter-half-true
343,"""The Russians didn’t wear uniforms when they came in"" to Ukraine.",2014,March,3,meter-mostly-true
344,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""",2014,March,2,meter-true
345,"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""",2014,March,2,meter-true
346,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",2013,September,7,meter-mostly-false
347,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",2012,October,22,meter-half-true
348,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",2012,October,11,meter-half-true
349,Says Romney called Russia our No. 1 enemy.,2012,September,6,meter-mostly-true
350,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",2012,March,26,tom_ruling_pof
351,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",2009,December,2,meter-mostly-false
352,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",2022,March,11,tom_ruling_pof
353,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",2022,March,6,meter-mostly-false
354,A photo of a wounded young child was captured in Ukraine in 2022.,2022,February,24,meter-false
355,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",2020,February,22,meter-half-true
356,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",2018,December,20,meter-false
357,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",2018,February,20,meter-mostly-false
358,"""I never said Russia did not meddle in the election.""",2018,February,18,tom_ruling_pof
359,"Says Russian President Vladimir Putin said Pope Francis ""is not a man of God.""",2017,August,5,tom_ruling_pof
360,"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",2017,July,6,meter-mostly-false
361,"""If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?""",2016,December,15,tom_ruling_pof
362,"Says the Obama administration invited ""Russia into Syria.""",2015,December,15,meter-mostly-false
